Epoch 1/20, Loss: 1.9996, Train Acc: 22.92%, Val Acc: 18.18%
Epoch 2/20, Loss: 1.5184, Train Acc: 45.83%, Val Acc: 9.09%
Epoch 3/20, Loss: 1.1123, Train Acc: 66.67%, Val Acc: 9.09%
Epoch 4/20, Loss: 0.7332, Train Acc: 79.17%, Val Acc: 9.09%
Epoch 5/20, Loss: 0.7330, Train Acc: 81.25%, Val Acc: 9.09%
Epoch 6/20, Loss: 0.5433, Train Acc: 85.42%, Val Acc: 9.09%
Epoch 7/20, Loss: 0.6094, Train Acc: 83.33%, Val Acc: 9.09%
Epoch 8/20, Loss: 0.4466, Train Acc: 86.46%, Val Acc: 9.09%
Epoch 9/20, Loss: 0.4222, Train Acc: 86.46%, Val Acc: 9.09%
Epoch 10/20, Loss: 0.4400, Train Acc: 87.50%, Val Acc: 0.00%
Epoch 11/20, Loss: 0.4220, Train Acc: 84.38%, Val Acc: 18.18%
Epoch 12/20, Loss: 0.3522, Train Acc: 84.38%, Val Acc: 0.00%
Epoch 13/20, Loss: 0.3411, Train Acc: 88.54%, Val Acc: 9.09%
Epoch 14/20, Loss: 0.3499, Train Acc: 86.46%, Val Acc: 9.09%
Epoch 15/20, Loss: 0.3063, Train Acc: 87.50%, Val Acc: 27.27%
Epoch 16/20, Loss: 0.2488, Train Acc: 87.50%, Val Acc: 18.18%
Epoch 17/20, Loss: 0.3150, Train Acc: 85.42%, Val Acc: 27.27%
Epoch 18/20, Loss: 0.3245, Train Acc: 83.33%, Val Acc: 18.18%
Epoch 19/20, Loss: 0.2875, Train Acc: 85.42%, Val Acc: 27.27%
Epoch 20/20, Loss: 0.3090, Train Acc: 87.50%, Val Acc: 27.27%
