Epoch 1/20, Loss: 1.5532, Train Acc: 38.87%, Val Acc: 44.10%
Epoch 2/20, Loss: 1.3190, Train Acc: 48.84%, Val Acc: 44.06%
Epoch 3/20, Loss: 1.1764, Train Acc: 54.98%, Val Acc: 51.35%
Epoch 4/20, Loss: 1.0679, Train Acc: 59.41%, Val Acc: 53.41%
Epoch 5/20, Loss: 0.9551, Train Acc: 63.99%, Val Acc: 55.77%
Epoch 6/20, Loss: 0.8372, Train Acc: 68.82%, Val Acc: 55.73%
Epoch 7/20, Loss: 0.7046, Train Acc: 73.94%, Val Acc: 56.42%
Epoch 8/20, Loss: 0.5590, Train Acc: 79.66%, Val Acc: 57.47%
Epoch 9/20, Loss: 0.4150, Train Acc: 84.81%, Val Acc: 56.29%
Epoch 10/20, Loss: 0.3041, Train Acc: 89.14%, Val Acc: 55.99%
Epoch 11/20, Loss: 0.2472, Train Acc: 91.23%, Val Acc: 56.34%
Epoch 12/20, Loss: 0.1769, Train Acc: 93.87%, Val Acc: 54.28%
Epoch 13/20, Loss: 0.1605, Train Acc: 94.39%, Val Acc: 57.87%
Epoch 14/20, Loss: 0.1269, Train Acc: 95.50%, Val Acc: 55.55%
Epoch 15/20, Loss: 0.1206, Train Acc: 95.81%, Val Acc: 56.21%
Epoch 16/20, Loss: 0.1023, Train Acc: 96.28%, Val Acc: 57.30%
Epoch 17/20, Loss: 0.0914, Train Acc: 96.72%, Val Acc: 56.69%
Epoch 18/20, Loss: 0.0958, Train Acc: 96.71%, Val Acc: 57.56%
Epoch 19/20, Loss: 0.0876, Train Acc: 96.98%, Val Acc: 56.03%
Epoch 20/20, Loss: 0.0773, Train Acc: 97.31%, Val Acc: 56.77%
